Date,day_opening_price,day_high,day_low,day_closing_price,day_trading_volume,ZERO_START_POINT,DAY_HIGH_vs_ZERO,DAY_LOW_vs_ZERO,DAY_CLOSE_vs_ZERO
24/02/2011,1307.09,1310.91,1294.26,1306.1,"1,222,900,000",0,3.82,-12.83,-0.99
25/02/2011,1307.34,1320.61,1307.34,1319.88,"3,836,030,000",0,13.27,0,12.54
28/02/2011,1321.61,1329.38,1320.55,1327.22,"1,252,850,000",0,7.77,-1.06,5.61
01/03/2011,1328.64,1332.09,1306.14,1306.33,"1,180,420,000",0,3.45,-22.5,-22.31
02/03/2011,1305.47,1314.19,1302.58,1308.44,"1,025,000,000",0,8.72,-2.89,2.97
03/03/2011,1312.37,1332.28,1312.37,1330.97,"4,340,470,000",0,19.91,0,18.6
04/03/2011,1330.73,1331.08,1312.59,1321.15,"4,223,740,000",0,0.35,-18.14,-9.58
07/03/2011,1322.72,1327.68,1303.99,1310.13,"3,964,730,000",0,4.96,-18.73,-12.59
08/03/2011,1311.05,1325.74,1306.86,1321.82,"4,531,420,000",0,14.69,-4.19,10.77
09/03/2011,1319.92,1323.21,1312.27,1320.02,"3,709,520,000",0,3.29,-7.65,0.1
10/03/2011,1315.72,1315.72,1294.21,1295.11,"4,723,020,000",0,0,-21.51,-20.61
11/03/2011,1293.43,1308.35,1291.99,1304.28,"3,740,400,000",0,14.92,-1.44,10.85
14/03/2011,1301.19,1301.19,1286.37,1296.39,"4,050,370,000",0,0,-14.82,-4.8
15/03/2011,1288.46,1288.46,1261.12,1281.87,"5,201,400,000",0,0,-27.34,-6.59
16/03/2011,1279.46,1280.91,1249.05,1256.88,"5,833,000,000",0,1.45,-30.41,-22.58
17/03/2011,1261.61,1278.88,1261.61,1273.72,"4,134,950,000",0,17.27,0,12.11
18/03/2011,1276.71,1288.88,1276.18,1279.21,"4,685,500,000",0,12.17,-0.53,2.5
21/03/2011,1281.65,1300.58,1281.65,1298.38,"4,223,730,000",0,18.93,0,16.73
22/03/2011,1298.29,1299.35,1292.7,1293.77,"3,576,550,000",0,1.06,-5.59,-4.52
23/03/2011,1292.19,1300.51,1284.05,1297.54,"3,842,350,000",0,8.32,-8.14,5.35
24/03/2011,1300.61,1311.34,1297.74,1309.66,"4,223,740,000",0,10.73,-2.87,9.05
25/03/2011,1311.8,1319.18,1310.15,1313.8,"4,223,740,000",0,7.38,-1.65,2
28/03/2011,1315.45,1319.74,1310.19,1310.19,"3,215,170,000",0,4.29,-5.26,-5.26
